Number0:  -0.19088363647460938 1.0 
Number1:  -0.12820555034436676 0.9373219138697574 
Number2:  -0.06552746421412416 0.8746438277395148 
Number3:  -0.002849378083881554 0.8119657416092722 
Number4:  0.05982870804636105 0.7492876554790295 
Number5:  0.12250679417660365 0.6866095693487869 
Number6:  0.18518488030684627 0.6239314832185443 
Number7:  0.24786296643708888 0.5612533970883017 
Number8:  0.3105410525673315 0.49857531095805907 
Number9:  0.3732191386975741 0.43589722482781645 
Number10:  0.43589722482781673 0.37321913869757384 
Number11:  0.49857531095805935 0.3105410525673312 
Number12:  0.5612533970883019 0.2478629664370886 
Number13:  0.6239314832185445 0.185184880306846 
Number14:  0.6866095693487871 0.12250679417660339 
Number15:  0.7492876554790298 0.059828708046360785 
Number16:  0.8119657416092724 -0.002849378083881818 
Number17:  0.874643827739515 -0.06552746421412442 
Number18:  0.9373219138697576 -0.12820555034436704 
Number19:  1.0000000000000002 -0.19088363647460965 
