Mode = 11
Method	Fold	Repeat	Size	Merit	Time	Features

sonar	sonar	sonar	sonar

GA	0	0	17	0.35343704471780335	209	3 8 9 10 11 12 20 27 35 43 44 45 46 47 50 51 53
GA	0	1	17	0.35343704471780335	131	3 8 9 10 11 12 20 27 35 43 44 45 46 47 50 51 53
GA	0	2	17	0.35343704471780335	129	3 8 9 10 11 12 20 27 35 43 44 45 46 47 50 51 53
GA	0	3	17	0.35343704471780335	131	3 8 9 10 11 12 20 27 35 43 44 45 46 47 50 51 53
GA	0	4	17	0.35343704471780335	126	3 8 9 10 11 12 20 27 35 43 44 45 46 47 50 51 53
GA	1	0	18	0.3592777803357863	129	3 4 8 9 10 11 12 20 27 35 43 44 45 46 48 50 51 53
GA	1	1	18	0.3592777803357863	125	3 4 8 9 10 11 12 20 27 35 43 44 45 46 48 50 51 53
GA	1	2	18	0.3592777803357863	125	3 4 8 9 10 11 12 20 27 35 43 44 45 46 48 50 51 53
GA	1	3	18	0.3592777803357863	129	3 4 8 9 10 11 12 20 27 35 43 44 45 46 48 50 51 53
GA	1	4	18	0.3592777803357863	124	3 4 8 9 10 11 12 20 27 35 43 44 45 46 48 50 51 53
GA	2	0	16	0.3491051931417764	126	4 8 9 10 11 12 20 27 35 43 44 46 48 50 51 53
GA	2	1	16	0.3491051931417764	122	4 8 9 10 11 12 20 27 35 43 44 46 48 50 51 53
GA	2	2	16	0.3491051931417764	125	4 8 9 10 11 12 20 27 35 43 44 46 48 50 51 53
GA	2	3	16	0.3491051931417764	122	4 8 9 10 11 12 20 27 35 43 44 46 48 50 51 53
GA	2	4	16	0.3491051931417764	123	4 8 9 10 11 12 20 27 35 43 44 46 48 50 51 53
